iso,refdate,fordate,sequence,node,shape,price
ERCOT,2019-05-02,2019-10-01 00:00:00,1,HB_NORTH,Off-peak,0.811928
ERCOT,2019-04-04,2021-07-01 00:00:00,6,HB_NORTH,Off-peak,1.340913
